word_idx,word_id,word,accuracy
79,w_a3bada5502da3021,oxygen,0.999999
80,w_aca6ddc032a17d3f,verb,0.999999
81,w_ca29f2909574a7f9,someone,0.999999
82,w_5f191134dde6f71f,motivation,0.999999
83,w_fcc537881cd1d5bc,inside,0.999999
84,w_e0d587ce038c01af,expensive,0.999999
85,w_c662180230cad147,address,0.999999
86,w_2cce4a92f41fe3d5,finish,0.999999
87,w_324d1dcc22defe3b,biology,0.999999
88,w_0b064373fb4dd735,how,0.999999
89,w_7fe40bb3e5efd1d3,crying,0.999999
90,w_60eb7e5f19f749bf,darkness,0.999999
91,w_94ec44c4f4ad3b8a,believe,0.999999
92,w_eb542d914033eac0,corner,0.999999
93,w_1a8565a9dc72048b,manager,0.999999
94,w_d31186cd71477f85,somebody,0.999999
95,w_02d44ffdcfbb8d56,optimism,0.999999
96,w_62b487bc84825b3d,midnight,0.999999
97,w_a5afc8df8baab874,uncle,0.999999
98,w_891c5feef171da85,chocolate,0.999999
99,w_2c26d6e2c55feff4,magazine,0.999999
100,w_30f7a16c51a35741,technology,0.999999
101,w_67b252c59af77039,popularity,0.999999
102,w_abc3506c964e6f2e,officially,0.999999
103,w_792b0f4d4d0fc8d1,cleaner,0.999999
104,w_abc1350f2b5be870,said,0.999999
105,w_f13122a402a8a1d4,historic,0.999999
106,w_21861253d6fcd033,vocabulary,0.999999
107,w_da2b128800d4e129,us,0.999999
108,w_f45f2bc801bb77f6,experiment,0.999999
109,w_825aa17056ee7250,surviving,0.999999
110,w_482e7bdd5b5d5323,intelligence,0.999999
111,w_c1777d8e848654ca,seventeen,0.999999
112,w_9248e701086509b4,secretary,0.999999
113,w_70be0355bc6e2ea8,snowboarding,0.999999
114,w_249ba36000029bbe,username,0.996551724137931
115,w_ea39210a09e76cf4,grandmother,0.996527777777777
116,w_f13a905f3776e792,vegetable,0.996466431095406
117,w_44f3e927fc822525,disconnection,0.996415770609319
118,w_874e70e6ab4d774b,watching,0.99638989169675
119,w_8f835ab723c137a1,personality,0.99638989169675
120,w_ff9f2d5c9eda0ce8,rooms,0.996376811594202
121,w_24e7451df05ed5cd,education,0.996350364963503
122,w_2b867d9270e055e8,comfortable,0.996350364963503
123,w_7758e5abd877177a,cellphone,0.996336996336996
124,w_8279ece1cb3c0a24,politician,0.996296296296296
125,w_eea0325f09ff8e01,situation,0.996296296296296
126,w_74ab78d80572d4f3,girlfriend,0.996296296296296
127,w_46148cc3b4d2b3ac,where,0.99628252788104
128,w_3c0f802cce98e02b,nights,0.996268656716418
129,w_e3b68c773c527a97,celebrated,0.996268656716418
130,w_ee87e62281ee4cee,paradise,0.99625468164794
131,w_194562b97b02ac19,edition,0.99625468164794
132,w_9273bf33ffb38f6a,classics,0.99625468164794
133,w_b26e5ebda152e810,subway,0.996240601503759
134,w_09d5f620386e878a,coat,0.996240601503759
135,w_521307ddb67a4abc,copyright,0.996226415094339
136,w_17d396020d8a4d80,microphone,0.996226415094339
137,w_3b41c7aefc79a08f,mysterious,0.996226415094339
138,w_860afcbe89eb96ee,mathematics,0.996226415094339
139,w_4d0fb475b2422280,internet,0.996212121212121
140,w_3060df91fe367f44,protest,0.996212121212121
141,w_da225248d262d338,effective,0.996212121212121
142,w_5280933cbca1c1af,notebook,0.996197718631178
143,w_ad00c690d667f9dc,cup,0.996197718631178
144,w_736b67b302dc5ebd,anyway,0.99618320610687
145,w_457774c6f0228627,sweet,0.996168582375478
146,w_1390470c09daf4c6,sunday,0.996168582375478
147,w_bb362a46a483f3f8,media,0.996168582375478
148,w_c981d125d1a564c9,software,0.996168582375478
149,w_ab87d24bdc7452e5,monkey,0.996153846153846
150,w_f3050a7be48ffce5,bigger,0.996153846153846
151,w_67b889b2ec5cba72,kindness,0.996153846153846
152,w_064122cb792ff900,certification,0.996153846153846
153,w_bb4a91749fe02cfa,neck,0.996138996138996
154,w_ab41949825606da1,editor,0.996138996138996
155,w_5df588cdf6852854,photograph,0.996138996138996
156,w_9bb5a73dfd4d29aa,unlocked,0.996138996138996
157,w_7bcbf908e034c8e5,become,0.996124031007751
158,w_3ed950b3c38343e5,translate,0.996124031007751
159,w_c2a95170dfe1669a,speakers,0.996124031007751
160,w_e59abed352187d91,mission,0.996108949416342
161,w_cb47297f54884151,negative,0.99609375
162,w_d33f85fc81c5db93,trying,0.99609375
163,w_b520dff52041d459,smartphone,0.99609375
164,w_4122fa5d51210850,physics,0.99609375
165,w_d848c9713eb1c248,future,0.996078431372549
166,w_3b2be2e26344d52b,question,0.996078431372549
167,w_60944e5702bdafb7,technical,0.996078431372549
168,w_4dc73741b9473168,your,0.996062992125984
169,w_e79efc4520fbd4b2,champion,0.996062992125984
170,w_2037de437c80264c,collection,0.996062992125984
171,w_cfd5acd586398229,programmer,0.996062992125984
172,w_4f03bcf927bf333c,kilometer,0.996062992125984
173,w_b32f279e548b6fce,each,0.996047430830039
174,w_5baa61e4c9b93f3f,password,0.996047430830039
175,w_858952923c2bbb9c,speedy,0.996047430830039
176,w_33797be57bc3b248,dirty,0.996031746031746
177,w_7b202d57f214af01,factory,0.996031746031746
178,w_9ee3184390f60594,speaker,0.996031746031746
179,w_aa8c41330509455e,zero,0.996031746031746
180,w_5fdccf09b305ccc3,singer,0.996031746031746
181,w_62cdb7020ff920e5,bar,0.996031746031746
182,w_a47b5cc8f06168f0,prince,0.996031746031746
183,w_5bf059881b1360fa,helicopter,0.99601593625498
184,w_05535ecff78ef610,summary,0.99601593625498
185,w_112c2a063a0f6f3f,anywhere,0.99601593625498
186,w_3be18d81b31f817c,fantastic,0.996
187,w_468ee5cbd54e42b8,basketball,0.996
188,w_5b0df6a8b9a96c11,registration,0.996
189,w_f3ba4d993e2dbcd8,cook,0.995983935742971
190,w_7b7074fca36fc89f,rose,0.995983935742971
191,w_c0d94d09a927e42b,sixteen,0.995983935742971
192,w_ea88fbaa99b73225,closed,0.995967741935483
193,w_0974abfe4509edd0,flying,0.995967741935483
194,w_413918488430a3ae,goodness,0.995967741935483
195,w_98aadb37083eddd8,live,0.995951417004048
196,w_71b21161ffa1e651,company,0.995951417004048
197,w_2db9d9c80ff405af,listening,0.995951417004048
198,w_f4c9c33ecfe37ff2,gentleman,0.995951417004048
199,w_672fccd70b672edf,except,0.995951417004048
200,w_6c0f74889f239077,physically,0.995951417004048
201,w_08fbe5a2e401d336,river,0.995934959349593
202,w_44d16146ba6b2951,foreign,0.995934959349593
203,w_f9f914060ccb1e10,university,0.995934959349593
204,w_4fd0653c4f2aef3b,cancel,0.995934959349593
205,w_c9589db8380eab02,helpless,0.995934959349593
206,w_87d17825792d2d34,mouth,0.995918367346938
207,w_bbe5bb364fb35f88,teach,0.995918367346938
208,w_fe28f10d2c6dab4e,writer,0.995918367346938
209,w_09f5edeb4f5b2a4e,bear,0.995918367346938
210,w_b4ddce182ecfb739,nine,0.995918367346938
211,w_83dd9d6af43f8cbe,information,0.995918367346938
212,w_ef18e1d14ad76322,technically,0.995918367346938
213,w_af10ef20dd9060bb,in,0.995901639344262
214,w_ca20728d35f00c3a,account,0.995901639344262
215,w_352f7829a2384b00,second,0.995901639344262
216,w_c949c0afd96a975e,traditional,0.995901639344262
217,w_cbe648909034c062,facebook,0.995901639344262
218,w_46ae5ea60197674c,simply,0.995884773662551
219,w_a5dfd1e2a15413c2,reply,0.995884773662551
220,w_3ab3e0b020a6d41f,website,0.995884773662551
221,w_41c1c4a6a23dd288,enjoying,0.995884773662551
222,w_5c1b9018b1a33ad9,affect,0.995884773662551
223,w_a06a492959ce12b3,audio,0.995867768595041
224,w_5723d165ed595952,must,0.995867768595041
225,w_aa6897a9085e9241,bored,0.995867768595041
226,w_3906b34397ea49ca,shampoo,0.995867768595041
227,w_254f76970b57b910,smooth,0.995867768595041
228,w_32ac991d88d626c7,restaurant,0.995867768595041
229,w_5780daf6db0b013d,about,0.995850622406639
230,w_56c9957fa1f6cf75,teenager,0.995850622406639
231,w_172ce8baac05fa5f,policeman,0.995850622406639
232,w_1b05d637f0409cc9,alone,0.995833333333333
233,w_7550b672e162c224,change,0.995833333333333
234,w_039f7bd6bc6c6e65,paint,0.995833333333333
235,w_7a436acca7c1aa59,t-shirt,0.995833333333333
236,w_a53204832e38fc48,broke,0.995833333333333
237,w_557f255516719ea1,not,0.99581589958159
238,w_8eec7bc461808e0b,security,0.99581589958159
239,w_eafd8d1cdeae3967,generally,0.99581589958159
240,w_752bb3ff18055fef,unsafe,0.99581589958159
241,w_bf48095db4e17be2,funny,0.995798319327731
242,w_f9bef9c232cea359,sing,0.995798319327731
243,w_ac6636e36f5e2f03,flexible,0.995798319327731
244,w_5be93480bd8b7434,house,0.995780590717299
245,w_8175e3c8753aeb16,man,0.995780590717299
246,w_3199ea056253916c,animal,0.995780590717299
247,w_d594c2cc0a530250,final,0.995780590717299
248,w_ef8d29955a725c39,pause,0.995780590717299
249,w_8a183292e82b41ce,knew,0.995780590717299
250,w_fe05bcdcdc492801,one,0.995762711864406
251,w_ee97d2f28ccffbc4,young,0.995762711864406
252,w_b5f23bca0ac82d67,want,0.995762711864406
253,w_5b4009518b37fa93,important,0.995762711864406
254,w_db69db5fb56cc44b,personal,0.995762711864406
255,w_6e69a85ca4397d20,formal,0.995762711864406
256,w_6e6ec3a652d1a4ce,dangerous,0.995762711864406
257,w_511e99115957b672,tired,0.995762711864406
258,w_487bf0f572716733,psychologist,0.995762711864406
259,w_5042d146667518a1,shop,0.995744680851063
260,w_7a92f3d26362d655,end,0.995744680851063
261,w_204036a1ef6e7360,student,0.995744680851063
262,w_786e97b3ee9fc4b2,but,0.995744680851063
263,w_b4914600112ba18a,sad,0.995744680851063
264,w_9b4e473e4de7949c,bag,0.995744680851063
265,w_24b55fe81e9e7b11,reader,0.995744680851063
266,w_27d748cf56ad562a,confuse,0.995744680851063
267,w_150a8af76a92892f,sports,0.995726495726495
268,w_d387fc8d57b2e3dc,volume,0.995726495726495
269,w_9477fdc83bfd8feb,choose,0.995726495726495
270,w_0dfa6acc651c8c3d,arms,0.995726495726495
271,w_f52318a05e518a55,builder,0.995726495726495
272,w_22d362f033d9bd28,electric,0.995726495726495
273,w_af2c7b4ca07ae6c7,top,0.995708154506437
274,w_227f38db8f9408a5,reading,0.995708154506437
275,w_292b0901993f7e9d,watch,0.995708154506437
276,w_6117e45ab57f8660,flash,0.995708154506437
277,w_1d71315e40d78817,given,0.995708154506437
278,w_295b6b7ea32a0969,works,0.995708154506437
279,w_c80f5bc166cd6739,kill,0.995689655172413
280,w_f1218e3a24f5864a,sleeping,0.995689655172413
281,w_c8a50f632c3c4baf,angel,0.995689655172413
282,w_6ca33ad04dbc4e21,known,0.995689655172413
283,w_b41a364b8d2e3cd3,horrible,0.995670995670995
284,w_94b19a105fce9aa5,movie,0.995670995670995
285,w_2cd4ba93087f2749,pig,0.995670995670995
286,w_eb7ada766135202f,wall,0.995670995670995
287,w_2cd7484bc1b15fcc,our,0.995670995670995
288,w_72bfb05496f96364,bathroom,0.995670995670995
289,w_99d637374f51ab8f,popular,0.995652173913043
290,w_5adeac62dbc1427c,official,0.995652173913043
291,w_6fa11fb296a828ad,sea,0.995652173913043
292,w_7e9219a0599eae1d,can,0.995652173913043
293,w_b94e9f3d7e001981,snow,0.995652173913043
294,w_6f8f8e9f767353d8,then,0.995652173913043
295,w_dcff95ace27e7e6c,criminal,0.995652173913043
296,w_6e32618ee300d43f,knife,0.995652173913043
297,w_26ec8d00fb6b5546,style,0.995652173913043
298,w_3cbcd90adc4b192a,word,0.995633187772925
299,w_9fb29051f2217270,show,0.995633187772925
300,w_a19e31d69f080de0,wear,0.995633187772925
301,w_f80adca81095de64,possibly,0.995633187772925
302,w_9ff2adb3c7909f42,concert,0.995633187772925
303,w_2010281d5053cc58,lost,0.995614035087719
304,w_528cef87d0bfb947,white,0.995614035087719
305,w_3d09ba44760d450f,dark,0.995614035087719
306,w_3a308231d963d64a,lover,0.995594713656387
307,w_c7d8a6d722a1ec9a,box,0.995594713656387
308,w_b93ec56608fb302f,click,0.995594713656387
309,w_c8fb554a62152a51,planet,0.995594713656387
310,w_233ec5bda5fa4683,central,0.995594713656387
311,w_1eb7d5c2200d0f49,limited,0.995594713656387
312,w_0bf4170444cd473c,activity,0.995594713656387
313,w_1468ebe41e325bdf,strange,0.995594713656387
314,w_000e793db70c5930,cloud,0.995575221238938
315,w_53bd7d992ed7edf9,take,0.995575221238938
316,w_05b1f356646c24bf,boss,0.995575221238938
317,w_411b089d2971d317,teaching,0.995575221238938
318,w_76f3b5a7170a9221,act,0.995575221238938
319,w_86dd1cf45142e904,host,0.995575221238938
320,w_fac99d4fa351d70d,absolutely,0.995575221238938
321,w_b7bdf51b880e0d29,celebration,0.995575221238938
322,w_1863835675e3970e,once,0.995555555555555
323,w_53861851a14694fe,honest,0.995535714285714
324,w_47ef65890ddbd7da,voice,0.995535714285714
325,w_fbfa863db53ddc41,romance,0.995535714285714
326,w_cef7e59218e3a7e1,chicken,0.995535714285714
327,w_dad7d5e0fd9418ca,pound,0.995535714285714
328,w_f7956b2763e6ff17,travel,0.995515695067264
329,w_5a537e209151ae5f,total,0.995515695067264
330,w_c3ca5f787365eae0,sleep,0.995515695067264
331,w_ab3ccc8dba2a0cf7,people,0.995515695067264
332,w_ffbaf58f1231628f,video,0.995515695067264
333,w_490528f36debf7c1,there,0.995515695067264
334,w_c554c6d3acbd2304,playlist,0.995515695067264
335,w_d53b257ba8da2741,ice,0.995495495495495
336,w_f4800df8d1bc61fc,out,0.995495495495495
337,w_8ab5cbe29ff8a179,texture,0.995495495495495
338,w_eaf14a01af23a275,lion,0.995495495495495
339,w_6c5522ca8af86fc5,it,0.995495495495495
340,w_07a2e25662f8c794,kiss,0.995475113122172
341,w_a00bbe560e6b0f52,seven,0.995475113122172
342,w_3ece1471f44f6317,my,0.995475113122172
343,w_3dde59ff3d79fc23,deep,0.995475113122172
344,w_ecaf65c92770e042,worry,0.995475113122172
345,w_2a1b875b84fa7245,fine,0.995475113122172
346,w_d30d77bc8442db84,vampire,0.995475113122172
347,w_3684c9d3c05e7bee,floor,0.995454545454545
348,w_5f04a8843e6c2de6,dream,0.995454545454545
349,w_e274eeff768c6396,work,0.995454545454545
350,w_68d1dae1af85bb6a,effect,0.995454545454545
351,w_9621a244a447ec74,hand,0.995454545454545
352,w_5e2e97c3c7ba3035,sound,0.995433789954337
353,w_58d1bbce297de3c3,add,0.995433789954337
354,w_0759f56c5c8c8e61,remember,0.995433789954337
355,w_e07f8c4ab6822127,forever,0.995433789954337
356,w_939bb46a04c3640c,local,0.995412844036697
357,w_a05d478d6e09bf33,cry,0.995412844036697
358,w_ee848a3b5b3fb004,police,0.995412844036697
359,w_e4fd69b08aca1408,wine,0.995412844036697
360,w_d524ea4764545378,cartoon,0.995412844036697
361,w_ce4151ff856b629d,park,0.995391705069124
362,w_cd09e18a9bd74eda,press,0.995391705069124
363,w_51a4b13bc79072fe,pool,0.995391705069124
364,w_ceac9b04aced67dc,boy,0.99537037037037
365,w_481902ec14eaf3fc,king,0.99537037037037
366,w_12dea96fec205935,user,0.99537037037037
367,w_8f4e3e3c24bac71b,finally,0.99537037037037
368,w_edfbd675d6300c63,drug,0.99537037037037
369,w_6ae999552a0d2dca,name,0.99537037037037
370,w_3559d7accf003609,search,0.99537037037037
371,w_600982cf9c0c41e1,beer,0.99537037037037
372,w_5fc7e38bffe00ca4,open,0.995348837209302
373,w_7c0a25c06ea30bae,up,0.995348837209302
374,w_cfdf42761949fb7e,lightly,0.995348837209302
375,w_75490f32c06a5005,tea,0.995327102803738
376,w_83d6311e87d4775c,mobile,0.995327102803738
377,w_6e3f5ad7c10972ae,thanks,0.995327102803738
378,w_8b39e2791a99dbb3,exam,0.995327102803738
379,w_14eb14ece52df99c,option,0.995327102803738
380,w_13f29965b77353ee,might,0.995327102803738
381,w_766250612b00c87c,idea,0.995305164319248
382,w_5cb1e6240fb46e67,smoke,0.995305164319248
383,w_02083f4579e08a61,body,0.995305164319248
384,w_a88b7dcd1a9e3e17,email,0.995305164319248
385,w_63bb094ca4821a02,relax,0.995305164319248
386,w_fc19318dd13128ce,good,0.995283018867924
387,w_3f158d4cc7182068,kid,0.995283018867924
388,w_a264d337dcfeece8,homework,0.995283018867924
389,w_a5197f10266ae7d8,nature,0.995283018867924
390,w_1c8f09270fc33a39,ask,0.995260663507109
391,w_885534c19d5f8389,study,0.995260663507109
392,w_f7ac253b1bed9171,follow,0.995260663507109
393,w_85777c03b72554cd,never,0.995260663507109
394,w_37a5301a88da334d,result,0.995260663507109
395,w_fbc8fae6b1390136,great,0.995260663507109
396,w_43c88f6f2c6e76a1,hold,0.995260663507109
397,w_9009337cf16333f0,junior,0.995260663507109
398,w_0e818bfa0679df30,monster,0.995260663507109
399,w_a6c6f227f653b4ee,unlucky,0.995260663507109
400,w_516626bf8a5006ec,play,0.995238095238095
401,w_5116e40694ac48f6,mother,0.995238095238095
402,w_0117691d0201f04a,strong,0.995238095238095
403,w_b415e16fbe4ca40f,topic,0.995238095238095
404,w_5c05775c9d03cfa3,lady,0.995238095238095
405,w_1615307cc4523f18,object,0.995238095238095
406,w_d39a47507bbe27c2,person,0.995238095238095
407,w_5548ae4f34cbb6e3,days,0.995215311004784
408,w_cc803b57be7d5544,galaxy,0.995215311004784
409,w_a62f2225bf70bfac,key,0.995192307692307
410,w_efe30e310694de6b,need,0.995169082125603
411,w_aa4a5f8125f23418,state,0.995169082125603
412,w_1ce1416347075b60,lucky,0.995145631067961
413,w_5fb801f2f30ac5b8,accept,0.995121951219512
414,w_fefe2393a7fc8eaf,bed,0.995121951219512
415,w_301577ef5982bf18,eating,0.995121951219512
416,w_6c03ac0ea7241c3b,incorrect,0.995121951219512
417,w_c33f059b0ca7725f,family,0.995098039215686
418,w_c9bc849a968f2432,now,0.995098039215686
419,w_4963bb059132fa0c,metal,0.995098039215686
420,w_4ff88aaddbd209d8,free,0.995073891625615
421,w_834b34f16f451e00,health,0.995073891625615
422,w_39ccb32d95edfdbc,food,0.99502487562189
423,w_dd7b1d0288f0f511,sorry,0.99502487562189
424,w_bb500fcedfa3bb79,swimming,0.99502487562189
425,w_a94a8fe5ccb19ba6,test,0.995
426,w_2eda8ad1632af052,job,0.995
427,w_0154c0dabe7145db,here,0.994974874371859
428,w_4d82205a20287450,taxi,0.994974874371859
429,w_6928e84932543506,extreme,0.994974874371859
430,w_5dc56b9aab618672,age,0.99492385786802
431,w_c4eb7d7fea3c62a8,like,0.994897959183673
432,w_b40981aab75932c5,magic,0.994845360824742
433,w_4f468a6824d620bf,art,0.99481865284974
434,w_14012cd1b375ede0,respect,0.99481865284974
435,w_2b5d05d3594b83ba,life,0.994791666666666
436,w_ef0ebbb77298e1fb,orange,0.994791666666666
437,w_64875fcccaac069f,fish,0.994764397905759
438,w_7be77f1a79f44c12,luck,0.994736842105263
439,w_9da8f1fa7d3a9fd0,place,0.994708994708994
440,w_9f2feb0f1ef425b2,love,0.994680851063829
441,w_1be2a44cb53dde90,night,0.994680851063829
442,w_df6ad19037c97987,run,0.994594594594594
443,w_a31e44e0548b4c99,better,0.994444444444444
444,w_655f83be7512e5b5,school,0.994413407821229
445,w_3d854ffed186b766,businessman,0.993464052287581
446,w_1c8f15dab796c5c9,printed,0.993197278911564
447,w_4a152678144aff49,opposition,0.993031358885017
448,w_79cccbb3266b5f72,painted,0.99298245614035
449,w_f16ecba5a2d660c0,starter,0.992957746478873
450,w_e9e4b1b2384bc309,wallpaper,0.992857142857142
451,w_bada75724f8d8411,unfriendly,0.992857142857142
452,w_a94a58406ef24e93,region,0.992831541218638
453,w_c24f5cff02c08728,thirteen,0.992805755395683
454,w_3797c42f9d94cc3a,electronic,0.992753623188405
455,w_6de8a320862880f3,documentary,0.992727272727272
456,w_cbf41f5b461cea4e,snowball,0.992673992673992
457,w_a8d35a42b41a9f93,designed,0.992673992673992
458,w_78e7b9cb5374fb23,makeup,0.992673992673992
459,w_cbd5b5cc81d88962,unblocked,0.992673992673992
460,w_f3605082b0a1ec03,functional,0.992619926199262
461,w_b7c8ffb8fbc67c17,another,0.992592592592592
462,w_6a73a9121a5de293,relationship,0.992592592592592
463,w_8765e9c7bcadaadb,geographic,0.992565055762081
464,w_38a007151abe87cc,product,0.992537313432835
465,w_fc955a19ae4f82e1,twenty,0.992537313432835
466,w_45f4d26fe87ff542,somewhere,0.992537313432835
467,w_c8de3b12d6e290bf,secretly,0.992537313432835
468,w_eebc8cf2b3b360c5,everybody,0.99250936329588
469,w_2216470a6aacb2ed,experimental,0.99250936329588
470,w_f5da25704af3ebd5,explorer,0.992481203007518
471,w_5721aa1bea612935,atlantic,0.992481203007518
472,w_f0fa28845f384ebc,possibility,0.992452830188679
473,w_15320ae28eb8c86b,requirement,0.992452830188679
474,w_48617412af62787f,beach,0.992424242424242
475,w_14b85fa8e87f846f,loading,0.992424242424242
476,w_61732525e4126559,woods,0.992424242424242
477,w_11834ce00aea3739,progressive,0.992424242424242
478,w_0bd087061ceb8a92,incredible,0.992424242424242
479,w_25dc282b5a3dcba6,answer,0.992395437262357
480,w_c2c45258cc99dd66,discovery,0.992395437262357
481,w_3d3221b2db3115d6,printer,0.992395437262357
482,w_55051f2531bda4ef,artist,0.99236641221374
483,w_341efea4ff7820d4,exclusive,0.99236641221374
484,w_cae5970fc939e302,hard,0.992337164750957
485,w_2c6a6bad65208ce9,graduate,0.992337164750957
486,w_df88b84d816d3358,blocked,0.992337164750957
487,w_2235dfef83125809,hopefully,0.992337164750957
488,w_0f9fc203ffac2c1c,washing,0.992337164750957
489,w_3894e20772402596,electricity,0.992337164750957
490,w_a561609311858d03,graduation,0.992307692307692
491,w_a62089c71d1dd192,emotional,0.992277992277992
492,w_697d42bad12124a5,magical,0.992277992277992
493,w_1b3ad029ca2fb8fa,transformation,0.992277992277992
494,w_bfed89e80ea0c1c6,square,0.992248062015503
495,w_7a9b93cfa651fbc2,sensitive,0.992248062015503
496,w_5f00f7a0a9f5e57d,mean,0.992248062015503
497,w_6a577a7743f405ea,business,0.992248062015503
498,w_4954ccf587d79316,journal,0.992248062015503
499,w_28ddbab039004f9e,outdoor,0.992248062015503
500,w_b2a491e28ddf8a34,playboy,0.992248062015503
501,w_d5a63c95d431e19e,everything,0.992248062015503
502,w_d479fa0ef92542c8,eight,0.992248062015503
503,w_39ae6b3c825b8108,episode,0.992217898832684
504,w_615923d86676636f,candy,0.992217898832684
505,w_50d8b4a941c26b89,unknown,0.992217898832684
506,w_d98f2c581b10506c,birthday,0.992217898832684
507,w_81b781d39d62e9d0,these,0.992217898832684
508,w_336edf81860bdfc5,beginning,0.992217898832684
509,w_f6fa22a7f0fb43a6,importance,0.992217898832684
510,w_8ce77cc3f90c8980,enough,0.9921875
511,w_beac9eac1cee74c3,thinking,0.9921875
512,w_48a8832d141772a7,frequency,0.9921875
513,w_b89f90f328fa7e77,swim,0.9921875
514,w_d1ef4731ec5c2e1f,because,0.9921875
515,w_00299a408dc3498a,library,0.9921875
516,w_418b03c91215cc91,community,0.9921875
517,w_ca463abccd8087d4,happening,0.9921875
518,w_fd1286353570c570,no,0.9921875
519,w_2d5128d7e4e85ee1,desert,0.9921875
520,w_8034c43d15bb7ef4,mine,0.992156862745098
521,w_6900797c6cbf6145,headphone,0.992156862745098
522,w_da4dbfbc4fdc5623,absolute,0.992156862745098
523,w_5ffe533b830f08a0,true,0.992125984251968
524,w_d2fc512490a15036,pencil,0.992125984251968
525,w_eab0f0d675765e4f,fishing,0.992125984251968
526,w_330317bbc57fe33d,him,0.992125984251968
527,w_51f90c38d7935a8f,wonderful,0.992125984251968
528,w_34a95f2c94b444bd,microscope,0.992125984251968
529,w_30603fa9e0f620c3,when,0.992094861660079
530,w_dac594fd64df182f,normally,0.992094861660079
531,w_fb5246f07f67c563,correction,0.992094861660079
532,w_2958eb411c40e78b,superstar,0.992094861660079
533,w_4a748620c761fbe4,welcoming,0.992094861660079
534,w_01ba7992f85de477,switch,0.992063492063492
535,w_34fb3300b9a77beb,third,0.992063492063492
